STATE TOTALS,,,,GENDER ANALYSIS,,,,,,,,AGE ANALYSIS (based on calculated age as of year-end 12/31/2019),,,,,,,,,,,,,,,,,,,,,,,MEMBERSHIP LEVEL ANALYSIS,,,,,,,,,,,,DEMOGRAPHIC ANALYSIS (only 1 of 6 fields required),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race/Ethnicity,,,,,,,,,,Income (Optional),,,,,,,,,,Education (Optional),,,,,,,,,,Employment (Optional),,,,,,,,Occupation (Optional),,,,,,,,,,,,,,,Marital Status (Optional),,,,,,,
Country,State/Prov,Total,% of Total,Males,% Male,Females,% Female,Non- Binary,% Non- Binary,Prefer Not To Say,% PNTS,Youth Age Unknown,Under 12,12-13,14-15,16-17,18-19,% Under 20,20-22,23-24,% 20-24,25-27,28-29,% 25-29,30-32,33-35,% 30-35,36-39,40-49,50-59,60-69,70-89,% 36-89,Adult Age Unknown,Lifetime,Adult,College,Youth,Coach & Player,Coach,Coach & Affiliate,Affiliate Player,Affiliate Youth,Recreational Event,Youth-Serving Organization,Friends & Family,American Indian/Alaska Native/Aleutian,Asian,Black/African American,Hawaiian Native/Other Pacific Islander,Hispanic/Latinx,Multiracial,Other Ethnic or Racial Identity,Prefer Not to Answer,White,[BLANK],"Over $200,000","$100,000-$149,000","$15,000-$24,999","$150,000-$199,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,000","Under $15,000",Prefer not to answer,[BLANK],Current Graduate Student,Current High School Student,Current Undergraduate Student,Did not graduate high school,Graduated College,High School Graduate,Post Graduate Degree,Prefer not to answer,Some College,[BLANK],Employed full-time,Employed part-time,Full-time homemaker,Full-time student,Prefer not to answer,Retired,Unemployed/looking for work,[BLANK],Administrative,Consultant,Education,Entrepreneur,Executive,Government/Military,Homemaker,Manager,Manufacturing,Non-Profit,Professional/Technical,Service,Student,Unemployed,[BLANK],Divorced,Living with a partner/significant other,Married,Prefer not to answer,Separated,Single,Widowed,[BLANK]
All,*,61678,100%,41502,67.29%,19942,32.33%,137,0.22%,97,0.16%,141,932,1918,4165,7738,10064,40.46%,13723,4807,30.04%,5010,2910,12.84%,3136,2031,8.38%,1549,2002,1171,175,6,7.95%,200,539,15015,18669,15265,1149,613,36,4015,3774,2465,4,134,172,5254,953,96,2008,1487,810,3723,38647,8528,612,1224,906,418,2252,2521,1426,12301,9624,30394,1233,7815,14255,522,6180,474,3433,1394,1191,25181,9509,4966,93,14280,3048,72,1797,27913,481,695,1850,404,235,545,87,696,309,627,4066,1577,19006,1523,29577,225,1264,4161,2696,31,24530,36,28735
US,NY,4577,7.42%,3143,68.67%,1420,31.02%,8,0.17%,6,0.13%,37,57,49,178,421,704,31.59%,1119,415,33.52%,489,271,16.60%,274,170,9.70%,135,152,85,11,0,8.37%,10,28,1021,1498,615,45,14,7,895,348,103,0,3,11,470,70,3,125,106,63,232,2561,936,43,80,47,24,122,186,103,778,716,2478,80,444,1186,24,417,19,217,52,66,2072,598,275,6,1066,205,4,130,2293,44,55,107,22,11,38,3,40,17,41,244,93,1364,116,2382,8,92,177,188,4,1740,3,2365
US,MN,4261,6.91%,2789,65.45%,1460,34.26%,8,0.19%,4,0.09%,7,69,286,580,1011,880,66.49%,472,187,15.47%,205,116,7.53%,168,90,6.05%,64,72,50,4,0,4.46%,0,15,528,579,2171,128,87,2,58,498,183,0,12,6,224,39,5,88,42,29,191,2223,1414,36,73,51,23,107,138,77,609,485,2662,42,602,440,31,368,27,155,108,72,2416,513,261,4,694,168,4,69,2548,31,22,121,20,17,18,6,42,9,39,208,99,918,54,2657,13,65,248,168,2,1168,3,2594
US,MA,4128,6.69%,2543,61.60%,1568,37.98%,10,0.24%,7,0.17%,3,37,40,305,875,905,52.45%,960,251,29.34%,189,125,7.61%,105,68,4.19%,67,84,89,18,1,6.27%,6,38,652,1351,1524,78,71,0,31,7,368,0,8,8,498,37,4,109,118,58,312,2754,230,40,63,34,25,80,104,72,802,842,2066,53,935,873,61,253,24,183,107,54,1585,409,276,4,1239,246,6,110,1838,17,39,112,12,17,19,1,19,11,29,169,68,1568,89,1958,8,60,167,256,3,1654,3,1977
US,CA,4050,6.57%,2613,64.52%,1427,35.23%,7,0.17%,3,0.07%,2,11,135,224,248,454,26.52%,1023,322,33.21%,410,223,15.63%,257,193,11.11%,129,228,152,21,4,13.19%,14,99,1511,1465,608,82,26,0,17,81,144,0,17,11,740,50,9,192,204,101,319,2153,271,102,155,62,73,133,167,145,762,677,1774,108,238,1071,37,533,28,359,115,90,1471,832,269,6,988,191,6,143,1615,27,62,121,39,30,33,6,57,16,54,449,89,1236,100,1731,25,87,365,191,5,1717,1,1659
US,NC,3579,5.80%,2595,72.51%,982,27.44%,2,0.06%,0,0.00%,19,153,301,492,393,416,49.57%,499,185,19.11%,240,174,11.57%,180,141,8.97%,108,149,104,8,0,10.31%,17,24,641,674,540,86,29,16,600,774,186,0,9,9,226,59,4,55,65,38,166,1604,1353,29,60,41,21,117,81,63,391,377,2399,59,311,486,14,261,14,175,55,39,2165,413,157,5,515,110,4,85,2290,14,38,87,19,9,24,3,32,12,22,177,42,688,58,2354,14,38,256,91,3,860,2,2315
US,PA,3001,4.87%,1884,62.78%,1111,37.02%,5,0.17%,1,0.03%,0,57,18,92,392,655,40.45%,892,250,38.05%,192,107,9.96%,125,86,7.03%,39,51,34,8,0,4.40%,3,24,655,1321,776,51,36,0,20,6,99,0,13,7,293,84,3,71,72,35,163,2128,145,25,46,33,17,113,111,53,708,556,1339,50,398,958,35,274,19,134,55,61,1017,406,280,4,829,181,3,99,1199,33,30,65,10,13,14,3,33,11,40,158,78,1137,82,1294,11,63,155,146,2,1352,0,1272
US,CO,2822,4.58%,1971,69.84%,845,29.94%,2,0.07%,4,0.14%,10,111,179,383,525,393,56.73%,333,138,16.69%,146,107,8.97%,115,98,7.55%,75,140,54,12,0,9.96%,3,21,696,463,1104,71,31,1,21,364,49,0,1,11,142,25,6,148,75,29,189,1995,202,40,63,31,25,98,120,74,554,505,1312,44,633,349,50,271,17,199,119,37,1103,455,204,5,686,175,5,83,1209,24,40,98,30,16,42,5,34,5,40,175,58,905,76,1274,21,64,226,160,2,1094,4,1251
US,IL,2441,3.96%,1814,74.31%,617,25.28%,5,0.20%,5,0.20%,20,42,88,173,371,467,47.56%,536,164,28.68%,145,94,9.79%,118,56,7.13%,47,69,47,2,0,6.76%,2,19,542,737,788,47,36,0,17,197,49,0,9,3,265,26,3,159,69,44,172,1519,181,31,58,27,16,71,129,48,464,458,1139,57,395,550,26,224,17,141,78,48,905,371,184,6,625,159,1,78,1017,15,26,80,13,9,15,3,31,13,18,151,49,841,78,1099,9,42,159,136,0,1038,2,1055
